Kanji|English|Utility|Use
焼|burn|4|982
照|illuminate|4|1004
省|introspection|4|548
省|ministry|4|548
省||4|548
笑|laughter|4|913
城|castle|4|795
信|believe|4|208
臣|retainer|4|1249
成|become|4|116
清|clean|4|705
静|quiet|4|764
席|seat|4|370
積|pile up|4|541
折|fold|4|962
節|joint|4|934
説|theory|4|326
戦|war|4|78
浅|shallow|4|1253
選|choose|4|57
然|so|4|401
倉|granary|4|1114
巣|nest|4|1588
争|contend|4|271
側|side|4|216
束|sheaf|4|918
続|continue|4|141
卒|soldier|4|772
孫|grandchild|4|1388
帯|belt|4|746
隊|troop|4|605
達|attain|4|500
単|single|4|586
置|put|4|277
仲|intermediary|4|919
兆|trillion|4|1174
低|low|4|435
底|bottom|4|867
的|target|4|105
典|reference book|4|1055
伝|transmit|4|416
徒|follower|4|817
努|endeavor|4|749
灯|lamp|4|1605
働|work|4|417
徳|morality|4|1091
特|special|4|234
栃|horse chestnut|4|1427
奈|Nara|4|841
縄|rope|4|1075
熱|heat|4|700
念|thought|4|390
敗|defeat|4|516
梅|plum|4|1232
博|erudition|4|794
飯|boiled rice|4|1046
飛|flying|4|580
必|necessary|4|265
媛|young lady|4|1735
標|mark|4|686
票|vote|4|489
不|not|4|101
付|attach|4|322
夫|husband|4|335
富|wealth|4|644
府|government office|4|170
阜|Gifu|4|1532
副|secondary|4|360
兵|soldier|4|522
別|another|4|214
変|change|4|238
辺|vicinity|4|428
便|convenience|4|729
便|post|4|729
便||4|729
包|wrap|4|954
法|law|4|100
望|hope|4|470
牧|pasture|4|1360
末|last part|4|456
満|full|4|515
未|not yet|4|650
民|people|4|28
無|without|4|274
約|approximately|4|94
勇|courage|4|1319
要|essential|4|106
養|foster|4|888
浴|bathe|4|1136
利|profit|4|203
梨|pear|4|1331
陸|land|4|736
料|fee|4|295
良|good|4|501
量|quantity|4|469
輪|wheel|4|693
類|kind|4|678
令|command|4|804
例|example|4|399
冷|cold|4|667
連|link|4|30
労|labor|4|398
老|old man|4|803
録|record|4|546
圧|pressure|5|718
囲|enclose|5|771
易|easy|5|571
易|exchange|5|571
易||5|571
移|transfer|5|448
因|cause|5|636
営|business|5|303
永|eternal|5|846
衛|guard|5|400
液|liquid|5|1210
益|benefit|5|674
演|perform|5|267
往|move ahead|5|1421
応|response|5|266
仮|temporary|5|1039
価|price|5|250
可|approve|5|314
河|river|5|663
過|exceed|5|285
解|untie|5|176
快|pleasant|5|1074
格|status|5|281
確|certain|5|252
額|amount|5|407
刊|publish|5|855
幹|trunk|5|364
慣|usual way|5|1177
眼|eye|5|1527
喜|joy|5|769
基|base|5|241
寄|draw near|5|673
紀|era|5|780
規|regulation|5|349
技|skill|5|434
義|righteousness|5|415
逆|reverse|5|683
久|long time|5|688
救|rescue|5|799
旧|former|5|549
居|reside|5|836
許|permit|5|720
境|boundary|5|346
興|amusement|5|734
均|even|5|715
禁|prohibit|5|681
句|phrase|5|1244
型|type|5|482
経|pass through|5|79
経|sutra|5|79
経||5|79
潔|spotless|5|1595
件|matter|5|212
検|examine|5|290
険|precipitous|5|707
減|decrease|5|261
現|actual|5|85
限|limit|5|405
個|individual|5|451
故|incident|5|612
護|protect|5|351
効|effect|5|538
厚|thick|5|768
構|structure|5|316
耕|till|5|1568
航|navigate|5|665
講|lecture|5|653
鉱|ore|5|1376
告|announce|5|188
混|mix|5|824
査|investigate|5|184
再|second time|5|275
妻|wife|5|691
採|pick|5|607
災|disaster|5|976
際|verge|5|183
在|be situated|5|211
罪|crime|5|732
財|finance|5|494
桜|cherry|5|1237
殺|kill|5|581
雑|miscellaneous|5|839
賛|approve|5|868
酸|acid|5|1218
史|history|5|511
士|warrior|5|526
師|master|5|563
志|ambition|5|823
支|branch|5|159
枝|twig|5|1401
資|capital|5|179
飼|rear animals|5|1392
似|similar|5|923
示|show|5|237
識|discernment|5|496
質|quality|5|389
舎|building|5|1170
謝|thank|5|1028
授|confer|5|535
修|study|5|603
術|technique|5|350
述|expound|5|379
準|incomplete|5|425
序|opening|5|1160
招|invite|5|840
証|certificate|5|306
象|phenomenon|5|394
象|elephant|5|394
象||5|394
賞|prize|5|426
常|regular|5|293
情|feelings|5|235
条|article|5|363
状|form|5|298
織|weave|5|608
職|employment|5|305
制|system|5|108
勢|energy|5|260
性|nature|5|104
政|politics|5|17
精|vitality|5|752
製|manufacture|5|488
税|tax|5|289
績|achievements|5|820
責|responsibility|5|598
接|join|5|523
設|establish|5|145
絶|cease|5|784
祖|ancestor|5|1226
素|element|5|660
総|overall|5|129
像|image|5|856
増|increase|5|231
造|fabricate|5|429
則|rule|5|753
測|gauge|5|761
属|belong|5|912
損|damage|5|807
態|state|5|353
貸|lend|5|995
団|group|5|213
断|cut off|5|338
築|construction|5|821
貯|lay up|5|1100
張|stretch|5|403
停|halt|5|733
提|propose|5|254
程|extent|5|514
