Kanji|English|Utility|Use
章|badge|3|990
乗|ride|3|377
植|plant|3|699
深|deep|3|484
申|report|3|492
真|true|3|279
神|god|3|347
身|body|3|320
進|advance|3|142
世|world|3|135
整|put in order|3|478
昔|old times|3|1197
全|completely|3|75
想|conceive|3|381
相|mutual|3|45
送|send|3|311
息|breath|3|882
速|speed|3|576
族|family|3|393
他|other|3|543
打|strike|3|239
対|opposite|3|34
待|wait|3|391
代|substitute|3|66
第|number prefix|3|160
題|topic|3|96
炭|coal|3|1307
短|short|3|689
談|conversation|3|272
着|arrive|3|376
柱|pillar|3|1119
注|pour|3|497
丁|fourth|3|1312
帳|notebook|3|1459
調|tone|3|87
追|chase|3|411
定|determine|3|48
庭|courtyard|3|816
笛|flute|3|1928
鉄|iron|3|672
転|turn|3|327
登|climb|3|566
都|metropolis|3|123
度|degree|3|110
島|island|3|245
投|throw|3|236
湯|hot water|3|1356
等|equal|3|798
豆|bean|3|1422
動|move|3|73
童|child|3|1138
農|agriculture|3|385
波|wave|3|740
配|distribute|3|359
倍|double|3|714
箱|box|3|1357
畑|plantation|3|1176
発|emit|3|32
反|against|3|191
板|board|3|926
悲|sad|3|1014
皮|skin|3|1092
美|beautiful|3|462
鼻|nose|3|1632
筆|brush|3|1132
氷|ice|3|1450
表|express|3|77
病|illness|3|384
秒|second|3|1015
品|goods|3|225
負|negative|3|443
部|part|3|36
服|clothes|3|873
福|happiness|3|467
物|thing|3|215
平|flat|3|128
返|reply|3|685
勉|diligent|3|1066
放|let go|3|288
味|taste|3|442
命|command|3|465
面|face|3|186
問|question|3|64
役|role|3|315
薬|medicine|3|702
油|oil|3|690
有|have|3|282
由|reason|3|325
遊|amusement|3|941
予|in advance|3|180
様|like this|3|493
洋|ocean|3|763
羊|sheep|3|1852
葉|leaf|3|414
陽|sun|3|1071
落|fall|3|420
流|flow|3|280
旅|journey|3|783
両|both|3|247
緑|green|3|1180
礼|etiquette|3|1185
列|row|3|927
練|train|3|788
路|road|3|529
和|harmony|3|124
愛|love|4|640
案|proposal|4|206
以|directional prefix|4|126
位|rank|4|276
衣|clothing|4|1214
井|well|4|339
茨|thorny shrub|4|1203
印|seal|4|682
栄|prosperity|4|920
英|Britain|4|430
塩|salt|4|1148
岡|hill|4|463
沖|open sea|4|929
億|hundred million|4|716
加|add|4|130
果|fruit|4|258
課|section|4|455
貨|coin|4|822
芽|bud|4|1691
賀|congratulation|4|1056
改|alter|4|147
械|mechanism|4|1321
害|harm|4|358
街|street|4|891
各|each|4|243
覚|sense|4|710
潟|lagoon|4|1204
完|complete|4|595
官|bureaucrat|4|230
管|pipe|4|517
観|observe|4|476
関|gateway|4|70
願|implore|4|894
器|vessel|4|525
岐|branch off|4|1428
希|rare|4|896
旗|flag|4|1190
機|machinery|4|127
季|season|4|842
議|discussion|4|25
求|request|4|220
泣|weep|4|1380
給|supply|4|615
挙|raise|4|257
漁|fishing|4|1094
競|compete|4|610
共|joint|4|174
協|cooperation|4|121
鏡|mirror|4|1506
極|pole|4|460
熊|bear|4|1105
訓|precept|4|1134
群|group|4|1012
軍|army|4|189
郡|county|4|965
径|diameter|4|1435
景|scenery|4|419
芸|art|4|719
欠|lack|4|860
欠|yawn|4|860
欠||4|860
結|tie|4|162
健|healthy|4|572
建|build|4|300
験|test|4|410
固|solid|4|750
候|weather|4|510
功|merit|4|857
好|be fond of|4|423
康|health|4|760
香|aroma|4|859
佐|field officer|4|474
差|difference|4|449
最|most|4|82
菜|vegetable|4|1327
材|material|4|565
阪|Osaka|4|503
崎|promontory|4|533
埼|Saitama|4|971
昨|yesterday|4|226
刷|print|4|1352
察|inspect|4|477
札|tag|4|921
参|participate|4|201
散|scatter|4|758
産|give birth|4|161
残|remain|4|380
司|officiate|4|759
氏|Mister|4|84
試|test|4|392
児|baby|4|679
滋|nourishment|4|1563
治|cure|4|109
辞|resignation|4|633
鹿|deer|4|957
失|lose|4|447
借|borrow|4|932
種|variety|4|461
周|circuit|4|562
祝|celebrate|4|1184
順|sequence|4|779
初|first|4|152
唱|chant|4|1123
松|pine|4|471
