矢|や|[1] arrow [2] wedge; chock [3] Ya|N/A
館|やかた|[1] mansion; palace; manor house; castle [2] nobleman; noblewoman; dignitary [3] cabin (on a boat, carriage, etc.)|N/A
野外|やがい|[1] outdoors; outside; open air [2] fields; outskirts; suburbs|N/A
役職|やくしょく|[1] post; official position [2] managerial position; executive position|N/A
役立つ|やくだつ|to be useful; to be helpful; to serve the purpose|2383
役場|やくば|town hall|N/A
夜具|やぐ|bedding; bedclothes|N/A
優|やさ|gentle; affectionate|N/A
屋敷|やしき|residence; estate; grounds; premises; mansion|4092
養う|やしなう|[1] to support; to maintain; to provide for [2] to bring up; to raise; to rear; to feed [3] to adopt (a child)|4114
社|やしろ|(Shinto) shrine|N/A
野心|やしん|[1] ambition; aspiration [2] sinister designs; treachery|N/A
易い|やすい|[1] easy [2] likely to ...; have a tendency to ... [3] easy to ...|N/A
安っぽい|やすっぽい|cheap-looking; tawdry; insignificant|N/A
休める|やすめる|to rest; to suspend; to give relief|N/A
野生|やせい|[1] wild [2] growing wild; living in the wild [3] I; me|N/A
矢鱈|やたら|[1] indiscriminately; blindly; at random; recklessly; thoughtlessly; excessively; profusely [2] indiscriminate; random; excessive|3573
夜中|やちゅう|during the night; at night|N/A
奴|やっこ|[1] servant (esp. a samurai's attendant) [2] chivalrous man (Edo period) [3] cubed tofu (often served cold)|589
野党|やとう|opposition party; the opposition|N/A
病|やまい|[1] illness; disease [2] bad habit; weakness; fault|4161
闇|やみ|[1] darkness; the dark [2] bewilderment; despair; hopelessness [3] hidden place; secrecy; oblivion|2757
病む|やむ|[1] to fall ill [2] to suffer from (e.g. a disease); to have something wrong with (e.g. an inner organ)|N/A
|{{l|ja|ややこしい|complicated; complex; intricate; confusing; difficult; troublesome|N/A
遣り通す|やりとおす|to carry through; to achieve; to complete|N/A
やり遂げる|やりとげる|to accomplish; to finish; to carry through; to follow through|N/A
遣る|やる|[10] to harm; to injure; to kill [11] to have sex; to fuck; to bang [12] to live; to get by; to get along|77
和らげる|やわらげる|to soften; to moderate; to relieve|N/A
|{{l|ja|ヤング|[1] young [2] youth; young person [3] Young (Australia); Yang; Yong; Yonge|N/A
優位|ゆうい|predominance; superiority; ascendancy; advantage; supremacy|N/A
憂鬱|ゆううつ|depression; melancholy; dejection; gloom; despondency|N/A
有益|ゆうえき|beneficial; profitable; useful; helpful; instructive|N/A
優越|ゆうえつ|supremacy; predominance; being superior to|N/A
勇敢|ゆうかん|brave; courageous; gallant; valiant; heroic|N/A
有機|ゆうき|organic|N/A
夕暮れ|ゆうぐれ|evening; dusk; twilight|N/A
融資|ゆうし|financing; loan|4269
有する|ゆうする|to have; to possess; to own; to be endowed with|1462
融通|ゆうずう|[1] lending (money, commodities, etc.); finance; loan [2] adaptability; versatility; flexibility; accommodation|N/A
優勢|ゆうせい|superiority; superior power; predominance; preponderance|N/A
優先|ゆうせん|preference; priority; precedence|3438
誘導|ゆうどう|guidance; leading; induction; introduction; incitement; inducement|N/A
優美|ゆうび|grace; refinement; elegance; daintiness|N/A
有望|ゆうぼう|promising; hopeful; full of promise|N/A
遊牧|ゆうぼく|nomadism|N/A
夕焼け|ゆうやけ|evening glow; red sunset; afterglow (of sunset)|N/A
有力|ゆうりょく|[1] influential; prominent; leading [2] strong; powerful; likely; plausible; promising; convincing; substantial|4656
幽霊|ゆうれい|ghost; specter; spectre; apparition; phantom|N/A
誘惑|ゆうわく|temptation; allurement; lure; enticement; seduction|N/A
歪む|ゆがむ|[1] to warp; to bend; to contort [2] to be perverted; to be warped (of a view, mind, etc.); to be distorted; to be cross-grained|N/A
揺さぶる|ゆさぶる|[1] to shake; to jolt; to rock; to swing; to sway [2] to shake (e.g. the political world); to disturb; to shock; to upset [3] to put off a batter (by varying one's type of pitch)|N/A
|{{l|ja|ゆとり|elbowroom; leeway; room; reserve; margin; allowance; latitude; time (to spare)|3741
|{{l|ja|ユニフォーム|uniform|N/A
|{{l|ja|ユニーク|unique; individual; original; unusual|N/A
指差す|ゆびさす|to point at|4503
弓|ゆみ|[1] bow (weapon) [2] archery [3] bow (for a violin, etc.)|N/A
揺らぐ|ゆらぐ|[1] to swing; to sway; to shake; to tremble [2] to waver; to feel shaken; to become unstable|N/A
緩む|ゆるむ|[1] to become loose; to slacken (e.g. rope) [2] to become less tense; to relax; to let one's guard down [3] to slacken (e.g. coldness, supervision); to become lax|N/A
緩やか|ゆるやか|[1] loose; slack [2] gentle (slope, curve); slow (speed) [3] lenient; liberal; lax|4783
世|よ|[1] world; society; public [2] life; lifetime [3] age; era; period; epoch; generation|2101
要因|よういん|main cause; primary factor|2189
溶液|ようえき|solution (liquid)|N/A
用件|ようけん|business; thing to be done; something that should be performed; information that should be conveyed|N/A
養護|ようご|nursing; (protective) care|N/A
用紙|ようし|[1] blank form [2] sheets of paper; sheet of paper|N/A
様式|ようしき|style; form; pattern|N/A
要する|ようする|to need; to demand; to take; to require|2005
養成|ようせい|training; education; development; cultivation|N/A
要請|ようせい|[1] appeal; call for something; request; claim; demand [2] axiom|2411
洋灯|ようとう|lamp|N/A
洋風|ようふう|Western style|N/A
用法|ようほう|way of using (something); usage; use; directions (for use)|N/A
要望|ようぼう|demand for; request|3410
余暇|よか|leisure; leisure time; spare time|N/A
予感|よかん|[1] presentiment; premonition; hunch [2] to have a premonition; to have a hunch|4473
余興|よきょう|performance (at a party or banquet, etc.); side show; entertainment|N/A
預金|よきん|deposit; bank account|N/A
抑圧|よくあつ|check; restraint; oppression; suppression|N/A
浴室|よくしつ|bathroom|N/A
抑制|よくせい|control; restraint; suppression; constraint; curtailment; inhibition; check; curb|3862
欲深い|よくぶかい|greedy|N/A
欲望|よくぼう|desire; appetite; lust|3949
予言|よげん|[1] prediction; prophecy; prognostication; foretelling; forecast [2] (religious) prophecy|N/A
横綱|よこづな|[1] yokozuna (highest rank in sumo); grand champion [2] best in its field; crème de la crème; cream of the crop|N/A
予想|よそう|expectation; anticipation; prediction; forecast; conjecture|1575
よそ見|よそみ|looking away; looking aside|N/A
余地|よち|place; room; margin; scope|4100
因って|よって|therefore; consequently; accordingly; for that reason|N/A
与党|よとう|ruling party; government party; party in power; government|N/A
夜更かし|よふかし|staying up late; keeping late hours; sitting up late at night; nighthawk|N/A
余程|よほど|[1] very; greatly; much; to a large extent; quite [2] just about to; almost; very nearly|2528
寄りかかる|よりかかる|[1] to lean against; to recline on; to lean on [2] to rely on; to depend on|N/A
世論|よろん|public opinion; popular voice; public sentiment; consensus|N/A
弱まる|よわまる|to abate; to weaken; to be emaciated; to be dejected; to be perplexed|N/A
弱める|よわめる|to weaken|N/A
弱る|よわる|[1] to weaken; to grow weak; to wane; to decline (of one's health) [2] to be downcast; to be dejected; to be dispirited [3] to be troubled; to be at a loss; to be perplexed; to be annoyed|N/A
