直す |なおす |[1] to repair; to mend; to fix; to correct (a mistake, bad habit, etc.); to put right; to restore; to straighten (e.g. a tie); to tidy up (one's hair, make-up, etc.); to revive (one's spirits) [2] to change; to alter; to convert; to translate [3] to put back; to put away |1441
治る |なおる |to get better; to get well; to recover (from an illness); to be cured; to be restored; to heal |N/A
泣く |なく |[1] to cry; to shed tears; to weep; to sob [2] to suffer (from); to be troubled (by); to face hardship [3] to accept (an unreasonable request, loss, etc.); to do reluctantly; to make sacrifices |795
亡くなる |なくなる |to die; to pass away |813
無くなる |なくなる |[1] to be lost (e.g. luggage); to be missing [2] to be used up; to be run out; to be exhausted; to be consumed; to be reduced to zero; to not occur any more [3] to disappear (e.g. pain); to be lost (e.g. a dream, confidence) |445
投げる |なげる |[1] to throw; to hurl; to fling; to toss; to cast [2] to give up; to abandon; to throw away [3] to cast (a glance, shadow, doubt, etc.) |1949
為さる |なさる |to do |2019
鳴る |なる |to sound; to ring; to resound; to echo; to roar; to rumble |28
成るべく |なるべく |as (much) as possible; as (much) as one can; wherever practicable; if possible |1264
成る程 |なるほど |I see; that's right; indeed |2073
慣れる |なれる |[1] to get used to; to grow accustomed to; to become familiar with [2] to become skilled in; to become experienced at [3] to become tame; to become domesticated |962
二階建て |にかいだて |two-storied building |N/A
苦い |にがい |bitter |N/A
逃げる |にげる |[1] to run away; to flee; to get away (e.g. from danger); to escape; to break out; to leave (e.g. one's spouse) [2] to avoid (a question, responsibility, etc.); to evade; to dodge; to shirk; to back away [3] to win without being overtaken; to hold off the other contenders (until the finish); to keep the lead (and win) |1126
日記 |にっき |diary; journal |2666
入院 |にゅういん |hospitalization; hospitalisation |1201
入学 |にゅうがく |admission (to a school or university); entrance; enrolment; enrollment; matriculation |2597
似る |にる |to resemble; to look like; to be like; to be alike; to be similar; to take after |751
人形 |にんぎょう |[1] doll; puppet; marionette [2] puppet (person under the control of another); straw man; yes-man [3] Ningyou |4050
盗む |ぬすむ |[1] to steal [2] to plagiarize; to steal (a technique, idea, etc.); to watch and learn [3] to do stealthily |3192
塗る |ぬる |to paint; to plaster; to lacquer; to varnish; to spread; to smear; to put up (wallpaper) |1642
濡れる |ぬれる |to get wet |3261
値段 |ねだん |price; cost |1216
熱 |ねつ |[1] heat [2] fever; temperature [3] zeal; passion; enthusiasm; mania; craze; rage |1738
寝坊 |ねぼう |[1] sleeping in late; oversleeping [2] late riser; sleepyhead |N/A
眠い |ねむい |sleepy; drowsy; somnolent |3289
眠る |ねむる |[1] to sleep [2] to die; to rest (in peace); to lie (buried); to sleep (in the grave) [3] to lie idle (e.g. of resources); to lie unused; to lie untapped; to lie untouched |1212
残る |のこる |to remain; to be left |281
乗り換える |のりかえる |[1] to transfer (trains); to change (bus, train) [2] to change (to another ideology, party, company, etc.); to switch (to a different system, method, etc.); to move on to (e.g. a new love interest) |4215
乗り物 |のりもの |[1] vehicle; conveyance; (means of) transport [2] ride (at a fair, amusement park, etc.) |4559 
