kanji|reading|meaning|frequency
ワイシャツ |ワイシャツ |(formal) shirt; dress shirt; business shirt; button-up shirt |N/A
若い |わかい |[1] young; youthful [2] immature; green [3] low (number); small |397
分かる |わかる |[1] to understand; to comprehend; to grasp; to see; to get; to follow [2] to become clear; to be known; to be discovered; to be realized; to be realised; to be found out [3] I know!; I think so too! |105
忘れる |わすれる |to forget; to leave carelessly; to be forgetful of; to forget about; to forget (an article) |441
私 |わたし |I; me |42
渡す |わたす |[1] to ferry across (e.g. a river); to carry across; to traverse [2] to lay across; to build across [3] to hand over; to hand in; to pass; to give; to transfer |1413
渡る |わたる |[1] to cross over; to go across [2] to extend; to cover; to range; to span |1069
悪い |わるい |[1] bad; poor; undesirable [2] poor (quality); inferior; insufficient [3] evil; sinful |230
