kanji|reading|meaning|freaquency
歌|うた|[1] song; singing [2] classical Japanese poem (esp. tanka) [3] modern poetry|645
開ける|あける|[10] to make (a hole); to open up (a hole) [1] to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock [2] to open (for business, etc.)|646
幾ら|いくら|[1] how much [2] something over; and something; -odd [3] however (much); no matter how|659
女の子|おんなのこ|[1] girl; daughter; baby girl [2] young woman|682
大人|おとな|adult; grown-up|700
雨|あめ|[1] rain [2] rainy day; rainy weather [3] the November suit (in hanafuda)|753
下りる|おりる|[1] to descend (e.g. a mountain); to go down; to come down [2] to alight (e.g. from bus); to get off; to disembark; to dismount [3] to step down; to retire; to give up; to quit; to fold|759
痛い|いたい|[1] painful; sore [2] cringy; embarrassing|776
お父さん|おとうさん|[1] father; dad; papa; pa; pop; daddy; dada [2] husband [3] you (of an elderly person older than the speaker); he; him|777
後ろ|うしろ|back; behind; rear|871
お祖母さん|おばあさん|[1] grandmother [2] old woman; female senior citizen|877
押す|おす|[10] to fall behind schedule [1] to push; to thrust; to shove [2] to press (down); to push (e.g. a button); to exert pressure on|950
医者|いしゃ|doctor; physician|973
秋|あき|autumn; fall|977
明るい|あかるい|[1] light; bright; well-lit; well-lighted [2] bright (colour) [3] cheerful; bright; spirited; sunny (e.g. disposition)|978
明日|あした|[1] tomorrow [2] near future|1008
お腹|おなか|belly; abdomen; stomach|1020
遅い|おそい|[1] slow [2] late [3] too late|1025
兄|あに|[1] older brother; elder brother [2] brother-in-law (spouse's older brother or older sister's husband)|1134
重い|おもい|[1] heavy; weighty [2] heavy (feeling); depressed; gloomy; blue; uneasy [3] slow; sluggish; lumbering; ponderous; clumsy|1154
忙しい|いそがしい|[1] busy; occupied; hectic [2] restless; hurried; fidgety|1163
温かい|あたたかい|[1] warm; mild; (pleasantly) hot [2] considerate; kind; genial [3] warm (of a colour); mellow|1194
要る|いる|to be needed; to be necessary; to be required; to be wanted; to need; to want|1208
洗う|あらう|[1] to wash; to cleanse; to rinse [2] to inquire into; to investigate [3] to purify (one's heart)|1229
男の子|おとこのこ|[1] boy; son; baby boy [2] young man|1234
薄い|うすい|[1] thin (of an object) [2] pale; light; faint [3] watery; thin; diluted|1301
赤い|あかい|[1] red; crimson; scarlet; vermilion [2] Red; communist|1308
彼処|あそこ|[1] there; over there; that place; yonder; you-know-where [2] genitals; private parts; nether regions [3] that far; that much; that point|1320
甘い|あまい|[1] sweet-tasting; sweet; sugary; sugared [2] fragrant (smelling); sweet (music) [3] lightly salted; light in salt; not spicy|1366
弟|おとうと|[1] younger brother; little brother; kid brother [2] brother-in-law (spouse's younger brother or younger sister's husband) [3] pupil; apprentice|1368
妹|いもうと|younger sister|1375
暑い|あつい|[1] hot; warm; sultry; heated [2] passionate; impassioned; burning (desire, etc.) [3] on everybody's mind; on the radar; du jour; interested (gaze, etc.)|1388
姉|あね|[1] older sister; elder sister [2] Ane|1399
お菓子|おかし|confections; sweets; candy; cake|1435
椅子|いす|[1] chair; seat; stool; bench [2] post; position; seat; office|1440
奥さん|おくさん|wife; your wife; his wife; married lady; madam|1562
熱い|あつい|[1] hot (to the touch) [2] passionate (feelings, etc.); ardent; hot (e.g. gaze) [3] hot (e.g. temper)|1722
青い|あおい|[1] blue; azure [2] green [3] pale (facial color); gray; grey|1797
アパート|[1] apartment building; apartment block; apartment house [2] apartment|1983
泳ぐ|およぐ|[1] to swim [2] to struggle through (a crowd) [3] to make one's way through the world; to get along (in life)|1989
大勢|おおぜい|[1] crowd of people; great number of people [2] in great numbers|1990
入り口|いりぐち|entrance; entry; gate; approach; mouth|2043
赤|あか|[1] red; crimson; scarlet [2] red-containing colour (e.g. brown, pink, orange) [3] Red (i.e. communist)|2068
空く|あく|[1] to open (e.g. doors) [2] to open (e.g. business, etc.) [3] to be empty|2082
危ない|あぶない|[1] dangerous; risky; hazardous; perilous; precarious [2] in danger; in jeopardy; critical; grave; at risk [3] uncertain; unreliable; insecure; unsteady; doubtful|2083
煩い|うるさい|[1] noisy; loud [2] annoying; troublesome; tiresome; persistent; importunate [3] fussy; finicky; picky; particular; nagging; fastidious; bossy|2170
浴びる|あびる|[1] to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun); to bathe in; to be flooded with (e.g. light); to be covered in [2] to suffer (e.g. an attack); to draw (e.g. criticism, attention, praise); to have heaped upon; to be showered with|2288
５日|いつか|[1] 5th day of the month [2] five days [3] Itsuka|2386
お姉さん|おねえさん|[1] older sister; elder sister [2] young lady [3] miss|2412
