支度 |したく |preparation; arrangements |4930
親しい |したしい |[1] close (e.g. friend); familiar; friendly; intimate [2] familiar (e.g. story); well-known (to one) [3] close (relatives); closely related |2330
次第 |しだい |[1] depending on [2] as soon as; immediately after; upon [3] as (e.g. "as one is told", "as one wishes"); whatever (e.g. "whatever is at hand") |1127
質 |しつ |[1] quality; value [2] nature; inherent quality; character [3] logical quality |2422
失業 |しつぎょう |[1] unemployment [2] losing one's job; becoming unemployed |N/A
失望 |しつぼう |disappointment; despair |N/A
支店 |してん |branch office; branch store |N/A
指導 |しどう |[1] guidance; leadership; instruction; direction; coaching [2] shido (minor penalty in judo) |1325
品 |しな |[1] article; item; thing; goods; stock [2] quality [3] flirtatiousness; coquetry |4222
支配 |しはい |[1] rule; domination; control [2] direction; management; guidance [3] control (of one's destiny, public opinion, etc.); governing; influence; sway |2328
支払い |しはらい |payment |3127
支払う |しはらう |to pay |1906
芝居 |しばい |play; drama |2056
屡々 |しばしば |often; again and again; frequently; repeatedly |2318
芝生 |しばふ |lawn; grass |N/A
資本 |しほん |funds; capital |3967
死亡 |しぼう |death; dying; mortality |2860
姉妹 |しまい |sisters |N/A
仕舞う |しまう |[1] to finish; to stop; to end; to put an end to; to bring to a close [2] to close (a business, etc.); to close down; to shut down; to shut up [3] to put away; to put back; to keep; to store |1649
仕舞った |しまった |darn it!; darn!; oops!; oh dear!; oh no! |N/A
示す |しめす |[1] to (take out and) show; to demonstrate; to tell; to exemplify; to make apparent [2] to point out (finger, clock hand, needle, etc.) [3] to indicate; to show; to represent; to signify; to display |449
占める |しめる |[1] to occupy; to hold [2] to account for; to make up; to take up |984
下 |しも |[1] lower reaches (of a river) [2] bottom; lower part [3] lower half (of the body, esp. the privates); feces (faeces); urine; menses |N/A
霜 |しも |[1] frost [2] white hair; grey hair; gray hair |N/A
借金 |しゃっきん |[1] debt; loan; liabilities; borrowing money [2] number of games under the .500 mark |2755
喋る |しゃべる |to talk; to chat; to chatter |823
週 |しゅう |week |1588
州 |しゅう |[1] state (of the US, Australia, India, Germany, etc.); province (e.g. of Canada); county (e.g. of the UK); region (e.g. of Italy); canton; oblast [2] continent [3] province (of Japan) |4619
周囲 |しゅうい |[1] surroundings; environs [2] circumference |1527
収穫 |しゅうかく |[1] harvest; crop; ingathering [2] fruits (of one's labors); gain; result; returns [3] catch (fishing); bag (hunting); haul |3597
週間 |しゅうかん |week |N/A
宗教 |しゅうきょう |[1] religion; religious affiliation; belief; faith; creed [2] religious activity |1549
就職 |しゅうしょく |finding employment; getting a job |1416
修正 |しゅうせい |amendment; correction; revision; modification; alteration; retouching; update; fix |3645
集団 |しゅうだん |[1] group; mass [2] Shuudan |2518
集中 |しゅうちゅう |[1] concentration (on a task); focusing one's attention [2] concentration (of population, buildings, power, etc.); centralization; convergence; focus (of a debate, questions, etc.) [3] within a collection of works |1842
収入 |しゅうにゅう |income; earnings; revenue; proceeds; takings; receipts |2012
修理 |しゅうり |repair; mending; fixing; servicing |3553
主義 |しゅぎ |doctrine; rule; principle; -ism |N/A
宿泊 |しゅくはく |accommodation; lodging |N/A
首相 |しゅしょう |prime minister; chancellor (Germany, Austria, etc.); premier |3428
手術 |しゅじゅつ |[1] surgery; operation; procedure [2] skill with one's hands; sleight of hand |1158
手段 |しゅだん |means; way; measure |1606
主張 |しゅちょう |claim; insistence; assertion; advocacy; emphasis; contention; opinion; tenet |1175
出身 |しゅっしん |one's origin (e.g. city, country, parentage, school) |3056
出席 |しゅっせき |attendance; presence; appearance |2608
出発 |しゅっぱつ |departure; leaving; setting off |1741
出版 |しゅっぱん |publication |3234
首都 |しゅと |capital (city); metropolis |4234
主婦 |しゅふ |housewife; mistress (of the house); homemaker |1878
主要 |しゅよう |chief; main; principal; major |3634
種類 |しゅるい |[1] variety; kind; type; category [2] counter for kinds, species, etc. |881
瞬間 |しゅんかん |moment; second; instant |1142
小 |しょう |[1] smallness; small item [2] short month (i.e. having fewer than 31 days) [3] elementary school |N/A
章 |しょう |[1] chapter; section [2] medal; badge; insignia |N/A
賞 |しょう |prize; award |4533
障害 |しょうがい |[1] obstacle; impediment; hindrance; barrier; difficulty [2] disorder; defect; disability; handicap; impairment; dysfunction [3] steeplechase |1655
奨学金 |しょうがくきん |[1] scholarship; stipend; bursary; grant-in-aid [2] student loan |N/A
正午 |しょうご |noon; midday |4233
少々 |しょうしょう |just a minute; small quantity |1928
正直 |しょうじき |[1] honest; frank; candid; straightforward [2] honestly; frankly [3] Shoujiki |1409
少女 |しょうじょ |[1] girl (usu. between 7 and 17); young lady [2] female between 17 and 20 years old (ritsuryō period) |2251
症状 |しょうじょう |symptoms; condition (of a patient) |1708
生じる |しょうじる |[1] to produce; to yield; to cause [2] to result from; to arise; to be generated |883
招待 |しょうたい |invitation |4593
承知 |しょうち |[1] knowledge; awareness [2] acceptance; consent; assent; agreement; compliance; acknowledgment; acknowledgement [3] forgiving; pardoning; excusing |2177
衝突 |しょうとつ |[1] collision; crash; impact; running into [2] clash; skirmish; conflict; discord; quarrel; brush |4315
商人 |しょうにん |[1] merchant; trader; tradesman; dealer; shopkeeper [2] Akindo |N/A
承認 |しょうにん |recognition; acknowledgement; acknowledgment; approval; consent; agreement |3103
少年 |しょうねん |[1] boy [2] juvenile; child |1023
商売 |しょうばい |[1] trade; business; commerce [2] occupation; calling; profession; job |2269
消費 |しょうひ |consumption; expenditure; spending |3027
商品 |しょうひん |commodity; article of commerce; goods; stock; merchandise |882
消防 |しょうぼう |[1] fire fighting [2] fire department; fire brigade; firefighter |N/A
証明 |しょうめい |proof; testimony; demonstration; verification; certification |1956
職 |しょく |[1] job; work; employment; occupation; position [2] duties [3] trade; skill |3961
職業 |しょくぎょう |occupation; profession; job; vocation; trade; calling; business |2414
食事 |しょくじ |[1] meal; dinner [2] diet |575
食卓 |しょくたく |dining table |4297
食品 |しょくひん |food; food products; foodstuffs |2401
植物 |しょくぶつ |plant; vegetation |1601
食物 |しょくもつ |food; foodstuff |4773
食欲 |しょくよく |appetite (for food) |4325
食料 |しょくりょう |food |2123
食糧 |しょくりょう |food (esp. staple food such as rice or wheat); provisions; rations; food supply |N/A
書斎 |しょさい |study; library; den; home office; reading room |N/A
署名 |しょめい |signature |4988
書物 |しょもつ |book; volume |4883
処理 |しょり |processing; dealing with; treatment; disposition; disposal |1480
書類 |しょるい |document; papers |2445
使用 |しよう |use; application; employment; utilization; utilisation |585
知らせ |しらせ |[1] news; word; tidings; notice; notification; information [2] omen; foreboding; premonition |N/A
尻 |しり |[1] buttocks; behind; rump; bottom; hips [2] undersurface; bottom [3] last place; end |2799
印 |しるし |[1] mark; sign [2] symbol; emblem [3] badge; crest; flag |4463
城 |しろ |castle |2304
進学 |しんがく |advancing to the next stage of education; going on to (high school, college, etc.) |4648
神経 |しんけい |[1] nerve [2] nerves; sensitivity |3035
真剣 |しんけん |[1] serious; earnest [2] real sword (as opposed to a wooden practice weapon) |1959
信仰 |しんこう |(religious) faith; belief; creed |3300
深刻 |しんこく |serious; severe; grave; acute |2928
信号 |しんごう |[1] signal; signalling; signaling [2] traffic light; traffic signal |3773
診察 |しんさつ |medical examination; checkup; consultation |4984
信じる |しんじる |to believe; to believe in; to place trust in; to confide in; to have faith in |718
親戚 |しんせき |relative; relation; kin |2274
新鮮 |しんせん |fresh |2243
心臓 |しんぞう |[1] heart [2] guts; nerve; cheek; gall; spine [3] heart (of something); central part |2564
身長 |しんちょう |height (of a person); stature |3043
慎重 |しんちょう |careful; cautious; prudent; discreet; deliberate |2984
心配 |しんぱい |[1] worry; concern; anxiety; uneasiness; fear [2] care; help; aid; assistance |560
審判 |しんぱん |[1] judgement; judgment; decision; verdict; sentence [2] refereeing; umpiring; judging [3] judgement (of God) |N/A
進歩 |しんぽ |progress; advance; improvement; development |2797
親友 |しんゆう |close friend; bosom friend; buddy; crony; chum |3541
信用 |しんよう |[1] confidence; trust; faith; reputation [2] credit |2439
信頼 |しんらい |trust (in); confidence; faith; reliance |2096
心理 |しんり |state of mind; mentality; psychology |4310
ジェット機 |ジェットき |jet aeroplane; jet airplane |N/A
直に |じかに |directly; in person; firsthand |N/A
時期 |じき |time; season; period; phase; stage |446
事件 |じけん |event; affair; incident; case; plot; trouble; scandal |547
時刻 |じこく |[1] time; (the) hour [2] favourable time; opportunity; chance |N/A
自殺 |じさつ |suicide |2501
自身 |じしん |(one's) self; oneself; yourself; himself; herself |3551
事実 |じじつ |fact; truth; reality |702
事情 |じじょう |circumstances; conditions; situation; reasons; state of affairs |1277
事態 |じたい |situation; (present) state of affairs; circumstances |1839
実験 |じっけん |experiment; experimentation |2217
実行 |じっこう |[1] execution (e.g. of a plan); carrying out; (putting into) practice; action; implementation; fulfillment; realization [2] execution (of a program); run |1726
実際 |じっさい |[1] reality; actuality; truth; fact; actual conditions [2] practice (as opposed to theory) [3] truly; really; indeed; actually |242
実施 |じっし |enforcement; implementation; putting into practice; carrying out; operation; working (e.g. working parameters); enactment |581
凝乎と |じっと |[1] motionlessly (e.g. stand, wait); (be) still [2] fixedly (e.g. gaze, stare); intently (e.g. listen, think) [3] patiently (endure); stoically |1676
実現 |じつげん |implementation (e.g. of a system); materialization; materialisation; realization; realisation; actualization; actualisation |1083
実は |じつは |as a matter of fact; by the way; to tell you the truth; to be honest; frankly |926
自動 |じどう |[1] automatic [2] intransitive verb |N/A
自慢 |じまん |pride; boast |2706
事務 |じむ |office work; clerical work; administration; business; affairs |3993
邪魔 |じゃま |[1] hindrance; obstacle; nuisance; disturbance; interruption; interference [2] to visit (someone's home) [3] demon who hinders Buddhist training; demon who obstructs sentient beings from maintaining moral behaviour |2616
銃 |じゅう |gun; rifle; small arms |4546
重視 |じゅうし |regarding as important; attaching importance to; taking a serious view of; putting emphasis on |2487
渋滞 |じゅうたい |[1] (traffic) congestion; traffic jam; gridlock [2] delay; stagnation |4461
住宅 |じゅうたく |residence; housing; residential building |2183
重大 |じゅうだい |serious; important; significant; grave; weighty |3118
住民 |じゅうみん |inhabitant; resident; citizen; population |1985
重要 |じゅうよう |important; essential; significant; major; key; principal |485
需要 |じゅよう |demand; request |2923
順 |じゅん |[1] order; turn; sorting [2] obedient; docile; submissive; meek |2878
順調 |じゅんちょう |favourable; favorable; doing well; OK; all right |3007
順番 |じゅんばん |order; turn |2811
準備 |じゅんび |preparation; arrangements; getting ready; provision; setup; reserving |934
|ジュース |[1] juice [2] soft drink (usu. fruit-based); sweetened drink |4264
上 |じょう |[1] from the standpoint of; from the viewpoint of; with respect to; in terms of; as a matter of; in view of; so far as ... is concerned [2] on; above; on top of; aboard (a ship or vehicle) [3] the best; top; first class; first grade |N/A
乗客 |じょうきゃく |passenger |N/A
状況 |じょうきょう |state of affairs; situation; conditions; circumstances |353
上京 |じょうきょう |going (up) to the capital; going to Tokyo |4673
条件 |じょうけん |condition; term; requirement; qualification; prerequisite |972
常識 |じょうしき |common sense; good sense; common knowledge; general knowledge; common practice; accepted practice; social etiquette |2756
状態 |じょうたい |state; condition; situation; appearance; circumstances |303
上達 |じょうたつ |[1] improvement (e.g. in skill, ability); advance; progress [2] communication of opinions of the general populace to those of high rank |4001
冗談 |じょうだん |joke; jest; funny story |2856
上等 |じょうとう |[1] superior; first-class; excellent; top quality [2] (that's) just fine!; bring it on! |N/A
情報 |じょうほう |[1] information; news; report; intelligence [2] information (data contained in characters, signals, code, etc.) |473
女王 |じょおう |[1] queen [2] female champion |N/A
助手 |じょしゅ |[1] assistant; helper [2] assistant (to a professor); research assistant |N/A
